STNNBR,CSTNO,POS,BTLSER,F,TIME,CTDPRS,CTDDEP,CTDTMP,CTDSAL,THETA,SIGTHT,DOSTTMP,F_1,CTDOXY,F_2,SALNTY,F_3,OXYGEN,F_4,PHSPHT,F_5,NO2+NO3,F_6,NITRIT,F_7,SILCAT,F_8,PH,F_9,PH_TMP,PH_SCL,CHLORA,F_10,PPHYTN,F_11,TCARBN,F_12,ALKALI,F_13
Unnamed: 0,     ,   ,         , , JST,     DBAR,METERS,   ITS-90,   PSS-78,   ITS-90.1,    KG/M3,   ITS-90.2, .1,  UMOL/KG, .2,   PSS-78.1, .3,  UMOL/KG.1, .4,  UMOL/KG.2, .5,  UMOL/KG.3, .6,  UMOL/KG.4, .7,  UMOL/KG.5, .8,         .1, .9, ITS-90,      ,     UG/L, .10,     UG/L.1, .11,  UMOL/KG.6, .12,  UMOL/KG.7,Unnamed: 39
 KS-5632,1,26, 02-25824,2,1555,52.1,52.0,27.4578,34.4419,27.4457,22.1547,27.464,2,204.6,2,34.4388,2,204.19,2,0.02,2,0.07,3,0.0,2,1.43,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5632,1,27, 02-25242,2,1555,52.2,52.0,27.424,34.4522,27.4119,22.1733,27.4336,2,204.8,2,34.442,4,204.28,2,0.02,2,0.06,3,0.0,2,1.42,2,,2,,,0.38,2,0.21,,,,,
 KS-5632,1,25, 02-24271,2,1554,75.9,75.0,26.2987,34.565,26.2816,22.6172,26.2943,2,202.5,2,-999.0,9,202.11,2,0.04,2,0.15,3,0.03,2,1.6,2,,2,,,0.64,2,0.36,,,,,
 KS-5632,1,18, 02-25814,3,1552,100.6,100.0,24.2954,34.7125,24.2741,23.3423,24.2955,2,191.0,2,-999.0,9,190.59,2,0.15,2,1.77,3,0.29,2,3.04,2,,2,,,0.23,2,0.28,,,,,
 KS-5632,1,17, 02-24268,2,1550,126.3,125.0,23.219,34.8189,23.193,23.7405,23.2216,2,189.5,2,34.8139,2,188.74,2,0.18,2,2.17,3,0.14,2,3.21,2,,2,,,0.09,2,0.18,,,,,
 KS-5632,1,16, 02-24474,2,1548,150.8,150.0,21.3213,34.7217,21.2922,24.2024,21.3238,2,182.8,2,-999.0,9,182.49,2,0.33,2,4.37,3,0.15,2,5.76,2,,2,,,0.07,2,0.11,,,,,
 KS-5632,1,13, 02-25243,3,1546,204.0,203.0,18.5539,34.7332,18.5182,24.939,18.5534,2,177.4,2,-999.0,9,176.81,2,0.51,2,7.01,3,0.04,2,8.61,2,,2,,,0.05,2,0.11,,,,,
 KS-5632,1,12, 02-25244,2,1543,253.5,252.0,11.9357,34.4117,11.9029,26.1506,11.9344,2,148.6,2,34.4126,2,148.21,2,1.33,2,18.55,3,0.03,2,29.73,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5632,1,7, 02-23518,2,1539,264.2,262.0,11.7953,34.404,11.7613,26.1712,11.7938,2,146.2,2,34.4047,2,145.83,2,1.37,2,18.94,3,0.05,2,31.09,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,-9,       -9,0,1935,0.0,9.0,28.3667,34.4547,28.3661,21.8647,-999.0,9,199.4,2,-999.0,9,198.96,2,0.03,2,0.0,3,0.0,2,1.33,2,,2,,,0.09,2,0.03,,,,,
